#Top: design_1_wrapper   Floorplan: rtl_1   Part: xc7z010clg400-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: austi   on: Thu Dec 25 12:28:12 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2024.2   by: xbuild   on: Fri Nov 08 22:35:27 MST 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg Package Delay,Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,Y1,IOPAD_X1Y31,PS_DDR_DM3_502,90.263,91.171,90.717,,DDR_54576,DDR_dm[3],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,T1,IOPAD_X1Y30,PS_DDR_DM2_502,75.406,76.164,75.785,,DDR_54576,DDR_dm[2],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,F1,IOPAD_X1Y29,PS_DDR_DM1_502,73.274,74.011,73.6425,,DDR_54576,DDR_dm[1],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,A1,IOPAD_X1Y28,PS_DDR_DM0_502,96.166,97.133,96.6495,,DDR_54576,DDR_dm[0],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,P5,IOPAD_X1Y22,PS_DDR_CAS_B_502,46.243,46.708,46.4755,,DDR_54576,DDR_cas_n,OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,M2,IOPAD_X1Y24,PS_DDR_CKN_502,52.469,52.997,52.733,,DDR_54576,DDR_ck_n,IN,,,DIFF_SSTL15,,FAST,,,,,,,,,,FP_VTT_50,,
502,L2,IOPAD_X1Y25,PS_DDR_CKP_502,56.093,56.657,56.375,,DDR_54576,DDR_ck_p,IN,,,DIFF_SSTL15,,FAST,,,,,,,,,,FP_VTT_50,,
502,N3,IOPAD_X1Y23,PS_DDR_CKE_502,41.814,42.234,42.024,,DDR_54576,DDR_cke,OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,N1,IOPAD_X1Y27,PS_DDR_CS_B_502,57.902,58.484,58.193,,DDR_54576,DDR_cs_n,OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,N5,IOPAD_X1Y131,PS_DDR_ODT_502,41.769,42.188,41.9785,,DDR_54576,DDR_odt,OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
